source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,0,antelope,antelope,1,0,1,Q001::0
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,1,antelope,antelope,1,0,1,Q001::1
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,2,antelope,antelope,1,0,1,Q001::2
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,3,albatross,albatross,1,0,1,Q001::3
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,4,aardvark,aardvark,1,0,1,Q001::4
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,5,albatross,albatross,1,0,1,Q001::5
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,6,antelope,antelope,1,0,1,Q001::6
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,7,anteater,anteater,1,0,1,Q001::7
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,8,anteater,anteater,1,0,1,Q001::8
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,9,anteater,anteater,1,0,1,Q001::9
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,10,antelope,antelope,1,0,1,Q001::10
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,11,aardvark,aardvark,1,0,1,Q001::11
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,12,armadillo,armadillo,1,0,1,Q001::12
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,13,american alligator,american alligator,1,0,1,Q001::13
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,14,antelope,antelope,1,0,1,Q001::14
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,15,albatross,albatross,1,0,1,Q001::15
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,16,armadillo,armadillo,1,0,1,Q001::16
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,17,applebat,applebat,0,0,0,Q001::17
Part3/outputs/answers_mistral_7b_T1.5.csv,answers_mistral_7b_T1.5,Q001,A,Animals,18,aardvark,aardvark,1,1,0,Q001::18
