question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,alligator,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,1,antelope,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,2,alligator,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,3,alligator,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,4,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,5,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,6,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,7,panda,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,8,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,9,alligator,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,10,antelope,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,11,albatross,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,12,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,13,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,14,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,15,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,16,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,17,alligator,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,18,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q001,A,Animals,19,alpaca,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,0,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,1,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,2,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,3,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,4,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,5,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,6,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,7,autoworker,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,8,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,9,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,10,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
Q002,A,Jobs,11,accountant,qwen2.5:7b,player1,0.8,40,selfplay_qwen_v2
