question_id,letter,category,round_idx,answer,model,player_id,temperature,top_k,prompt_id
Q001,A,Animals,0,alpaca,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,1,albatross,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,2,alligator,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,3,albatross,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,4,aardvark,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,5,alligator,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,6,antelope,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,7,antelope,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,8,alligator,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,9,aardvark,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,10,albatross,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,11,african elephant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,12,aardvark,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,13,aardvark,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,14,alpaca,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,15,albatross,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,16,aardvark,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,17,alligator,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,18,alpaca,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q001,A,Animals,19,alpaca,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,0,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,1,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,2,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,3,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,4,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,5,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,6,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,7,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,8,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,9,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,10,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,11,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,12,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,13,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,14,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
Q002,A,Jobs,15,accountant,qwen2.5:7b,player2,1.5,40,selfplay_qwen_v1
