source_file,player_id,question_id,letter,category,round_idx,answer_raw,answer_norm,valid,collision,score,round_key
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,0,albatross,albatross,1,0,1,Q001::0
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,1,alligator,alligator,1,0,1,Q001::1
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,2,alpaca,alpaca,1,0,1,Q001::2
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,3,antelope,antelope,1,0,1,Q001::3
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,4,alligator,alligator,1,0,1,Q001::4
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,5,antelope,antelope,1,0,1,Q001::5
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,6,aligator,aligator,0,0,0,Q001::6
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,7,aardvark,aardvark,1,0,1,Q001::7
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,8,albatross,albatross,1,0,1,Q001::8
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,9,aligator,aligator,0,0,0,Q001::9
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,10,alligator,alligator,1,0,1,Q001::10
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,11,alpaca,alpaca,1,0,1,Q001::11
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,12,alpaca,alpaca,1,0,1,Q001::12
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,13,albatross,albatross,1,0,1,Q001::13
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,14,alpaca,alpaca,1,1,0,Q001::14
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,15,antelope,antelope,1,0,1,Q001::15
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,16,alpaca,alpaca,1,0,1,Q001::16
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,17,alligator,alligator,1,1,0,Q001::17
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,18,aardvark,aardvark,1,0,1,Q001::18
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q001,A,Animals,19,alpaca,alpaca,1,1,0,Q001::19
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,0,accountant,accountant,1,1,0,Q002::0
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,1,accountant,accountant,1,1,0,Q002::1
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,2,accountant,accountant,1,1,0,Q002::2
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,3,accountant,accountant,1,1,0,Q002::3
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,4,accountant,accountant,1,1,0,Q002::4
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,5,accountant,accountant,1,1,0,Q002::5
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,6,accountant,accountant,1,1,0,Q002::6
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,7,accountant,accountant,1,1,0,Q002::7
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,8,accountant,accountant,1,1,0,Q002::8
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,9,accountant,accountant,1,1,0,Q002::9
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,10,accountant,accountant,1,1,0,Q002::10
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,11,accountant,accountant,1,1,0,Q002::11
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,12,accountant,accountant,1,1,0,Q002::12
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,13,accountant,accountant,1,1,0,Q002::13
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,14,accountant,accountant,1,1,0,Q002::14
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,15,accountant,accountant,1,1,0,Q002::15
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,16,accountant,accountant,1,1,0,Q002::16
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,17,accountant,accountant,1,1,0,Q002::17
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,18,accountant,accountant,1,1,0,Q002::18
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q002,A,Jobs,19,accountant,accountant,1,1,0,Q002::19
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q003,B,Fruits,0,blueberry,blueberry,1,1,0,Q003::0
Part2/outputs/answers_player1_T1.5.csv,answers_player1_T1.5,Q003,B,Fruits,1,blueberry,blueberry,1,1,0,Q003::1
